year,team,conference,division,expected_wins,total_games,total_wins,total_losses,total_ties,conference_games,conference_wins,conference_losses,conference_ties,home_games,home_wins,home_losses,home_ties,away_games,away_wins,away_losses,away_ties
2015,Ohio State,Big Ten,East,12.1,13,12,1,0,8,7,1,0,7,6,1,0,5,5,0,0
2015,Oklahoma,Big 12,,10.4,13,11,2,0,9,8,1,0,6,6,0,0,5,5,0,0
2015,Oklahoma State,Big 12,,8.4,13,10,3,0,9,7,2,0,7,5,2,0,5,5,0,0
2015,Old Dominion,Conference USA,East,3.8,12,5,7,0,8,3,5,0,7,3,4,0,5,2,3,0
2015,Ole Miss,SEC,West,10.3,13,10,3,0,8,6,2,0,7,6,1,0,5,3,2,0
2015,Oregon,Pac-12,North,8.2,13,9,4,0,9,7,2,0,7,5,2,0,5,4,1,0
2015,Oregon State,Pac-12,North,3,12,2,10,0,9,0,9,0,6,2,4,0,6,0,6,0
2015,Penn State,Big Ten,East,7.3,13,7,6,0,8,4,4,0,7,6,1,0,4,0,4,0
2015,Pittsburgh,ACC,Coastal,6.7,13,8,5,0,8,6,2,0,6,3,3,0,6,5,1,0
2015,Purdue,Big Ten,West,1.8,12,2,10,0,8,1,7,0,7,2,5,0,5,0,5,0
2015,Rice,Conference USA,West,5.1,12,5,7,0,8,3,5,0,6,3,3,0,6,2,4,0
2015,Rutgers,Big Ten,East,4.1,12,4,8,0,8,1,7,0,6,1,5,0,5,2,3,0
2015,San Diego State,Mountain West,West,11.8,14,11,3,0,9,9,0,0,6,5,1,0,6,4,2,0
2015,San José State,Mountain West,West,6.8,13,6,7,0,8,4,4,0,6,3,3,0,6,2,4,0
2015,SMU,American Athletic,West,2.4,12,2,10,0,8,1,7,0,7,2,5,0,5,0,5,0
2015,South Alabama,Sun Belt,East,2.7,12,5,7,0,8,3,5,0,5,2,3,0,6,2,4,0
2015,South Carolina,SEC,East,3.9,12,3,9,0,8,1,7,0,6,2,4,0,5,0,5,0
2015,Southern Mississippi,Conference USA,West,9.2,14,9,5,0,9,7,2,0,6,5,1,0,7,4,3,0
2015,South Florida,American Athletic,East,8.1,13,8,5,0,8,6,2,0,6,5,1,0,6,3,3,0
2015,Stanford,Pac-12,North,10.5,14,12,2,0,10,9,1,0,7,6,1,0,5,4,1,0
2015,Syracuse,ACC,Atlantic,4.6,12,4,8,0,8,2,6,0,7,4,3,0,5,0,5,0
2015,TCU,Big 12,,10.1,13,11,2,0,9,7,2,0,6,6,0,0,6,4,2,0
2015,Temple,American Athletic,East,9.2,14,10,4,0,9,7,2,0,6,5,1,0,7,5,2,0
2015,Tennessee,SEC,East,9.9,13,9,4,0,8,5,3,0,7,5,2,0,4,2,2,0
2015,Texas,Big 12,,5,12,5,7,0,9,4,5,0,6,3,3,0,5,1,4,0
2015,Texas A&M,SEC,West,7.8,13,8,5,0,8,4,4,0,7,5,2,0,3,1,2,0
2015,Texas State,Sun Belt,East,3.6,12,3,9,0,8,2,6,0,6,3,3,0,6,0,6,0
2015,Texas Tech,Big 12,,5.9,13,7,6,0,9,4,5,0,6,4,2,0,5,3,2,0
2015,Toledo,Mid-American,West,9.6,12,10,2,0,8,6,2,0,6,4,2,0,5,5,0,0
2015,Troy,Sun Belt,East,4.9,12,4,8,0,8,3,5,0,5,2,3,0,7,2,5,0
2015,Tulane,American Athletic,West,2.8,12,3,9,0,8,1,7,0,6,2,4,0,6,1,5,0
2015,Tulsa,American Athletic,West,6.3,13,6,7,0,8,3,5,0,6,3,3,0,6,3,3,0
2015,UCF,American Athletic,East,0.3,12,0,12,0,8,0,8,0,6,0,6,0,6,0,6,0
2015,UCLA,Pac-12,South,7.9,13,8,5,0,9,5,4,0,6,4,2,0,6,4,2,0
2015,UMass,Mid-American,East,3.2,12,3,9,0,8,2,6,0,6,1,5,0,6,2,4,0
2015,UNLV,Mountain West,West,3.5,12,3,9,0,8,2,6,0,5,1,4,0,6,1,5,0
2015,USC,Pac-12,South,8.3,14,8,6,0,10,6,4,0,7,5,2,0,5,3,2,0
2015,Utah,Pac-12,South,9.4,13,10,3,0,9,6,3,0,7,6,1,0,5,3,2,0
2015,Utah State,Mountain West,Mountain,6.6,13,6,7,0,8,5,3,0,6,5,1,0,6,1,5,0
2015,UTEP,Conference USA,West,4.2,12,5,7,0,8,3,5,0,5,3,2,0,7,2,5,0
2015,UT San Antonio,Conference USA,West,4.7,12,3,9,0,8,3,5,0,6,1,5,0,6,2,4,0
2015,Vanderbilt,SEC,East,4.2,12,4,8,0,8,2,6,0,6,3,3,0,6,1,5,0
2015,Virginia,ACC,Coastal,4.2,12,4,8,0,8,3,5,0,7,4,3,0,5,0,5,0
2015,Virginia Tech,ACC,Coastal,6.6,13,7,6,0,8,4,4,0,6,2,4,0,6,4,2,0
2015,Wake Forest,ACC,Atlantic,4.1,12,3,9,0,8,1,7,0,6,1,5,0,6,2,4,0
2015,Washington,Pac-12,North,7.5,13,7,6,0,9,4,5,0,7,4,3,0,5,2,3,0
2015,Washington State,Pac-12,North,8.6,13,9,4,0,9,6,3,0,6,4,2,0,6,4,2,0
2015,Western Kentucky,Conference USA,East,10.5,14,12,2,0,9,9,0,0,6,6,0,0,7,5,2,0
2015,Western Michigan,Mid-American,West,7.4,13,8,5,0,8,6,2,0,6,4,2,0,6,3,3,0
2015,West Virginia,Big 12,,9,13,8,5,0,9,4,5,0,7,6,1,0,5,1,4,0
2015,Wisconsin,Big Ten,West,10.2,13,10,3,0,8,6,2,0,7,5,2,0,4,4,0,0
2015,Wyoming,Mountain West,Mountain,2.2,12,2,10,0,8,2,6,0,6,2,4,0,6,0,6,0
